year,sex,age,province,n,total_n,prop
2001,TRUE,55,CA,178434,31020902,0.005752057112974987
2001,TRUE,56,CA,166764,31020902,0.005375859154579064
2001,TRUE,57,CA,161960,31020902,0.005220995830488746
2001,TRUE,58,CA,156896,31020902,0.005057751060881467
2001,TRUE,59,CA,145379,31020902,0.004686485260808986
2001,TRUE,60,CA,138592,31020902,0.004467697296487381
2001,TRUE,61,CA,129827,31020902,0.004185145873579047
2001,TRUE,62,CA,125895,31020902,0.004058392628299461
2001,TRUE,63,CA,121026,31020902,0.0039014339428299024
2001,TRUE,64,CA,115592,31020902,0.003726261731525408
2001,TRUE,65,CA,115161,31020902,0.003712367873764599
2001,TRUE,66,CA,111211,31020902,0.003585034374564608
2001,TRUE,67,CA,107960,31020902,0.003480234069273679
2001,TRUE,68,CA,108456,31020902,0.0034962232884137284
2001,TRUE,69,CA,107355,31020902,0.0034607310902822876
2001,TRUE,70,CA,104283,31020902,0.0033617010878664974
2001,TRUE,71,CA,99575,31020902,0.0032099324513516726
